Id,avg_out_hitting_time,rw_out_closeness,out_truncated_runs,out_stuck_runs,out_total_runs,out_truncation_rate
120,291.493,0.003430614114232589,0,0,2000,0.0
76,296.7855,0.0033694368491722134,0,0,2000,0.0
52,373.877,0.0026746764310187575,0,0,2000,0.0
3,477.0065,0.0020964074913025293,0,0,2000,0.0
77,537.4435,0.0018606607020086763,0,0,2000,0.0
70,544.735,0.0018357550001376816,0,0,2000,0.0
115,574.3185,0.0017411941283451604,0,0,2000,0.0
20,653.588,0.001530015850964216,0,0,2000,0.0
79,697.7075,0.0014332653726669127,0,0,2000,0.0
68,711.0045,0.0014064608592491328,0,0,2000,0.0
