Id,Label,x,y
0,ADFL,0.08239338844992,-0.00098380167552
1,ADFR,0.0832790123616,-0.00318419750784
2,ADLL,0.08263933883904,-0.01303537187328
3,ADLR,0.0832790123616,-0.01151209877376
4,AFDL,0.08632859503296,-0.0027054545184
5,AFDR,0.08646320986944,-0.0009797530656
6,AIAL,0.06517685948544,0.00934611567936
7,AIAR,0.05903012343744,0.01151209877376
8,AIBR,0.07544098765824,0.00612345676416
9,AINL,0.06197950412928,-0.0061487603232
10,AINR,0.06196938269376,-0.00342913581888
11,AIZL,0.04869818180736,0.0027054545184
12,AIZR,0.05756049380928,0.00318419750784
13,ALA,0.09405629632128,-0.01322666665344
14,ASEL,0.069112066128,0.00049190083776
15,ASER,0.07176691358784,-0.00073481481408
16,ASGL,0.0779662809696,-0.00762446283648
17,ASGR,0.08009481479424,-0.01028740739712
18,ASHL,0.07550677684032,0.00049190083776
19,ASHR,0.07838024691456,-0.0009797530656
20,ASIL,0.0769824793536,-0.01278942148416
21,ASIR,0.07715555553792,-0.01175703702528
22,ASJL,0.06345520658304,0.00664066116096
23,ASJR,0.06270419750784,0.00906271602048
24,ASKL,0.08854214877312,-0.01008396696576
25,ASKR,0.08866765431168,-0.00955259258304
26,AUAL,0.06862016529024,0.0061487603232
27,AUAR,0.06711308639232,0.00538864195008
28,AVAL,0.08952595038912,0.0017216529024
29,AVAR,0.09087209875392,-0.0002449382515199
30,AVBL,0.069112066128,-0.0044271074208
31,AVBR,0.07176691358784,-0.0063683950752
32,AVDL,0.06173355374016,-0.00147570245376
33,AVDR,0.06637827157824,-0.00146962962816
34,AVEL,0.08288528922816,0.00221355374016
35,AVER,0.08401382717568,0.00318419750784
36,AVHL,0.07206347109504,-0.00860826445248
37,AVHR,0.07642074072384,-0.0127367901504
38,AVJL,0.06763636361472,-0.00934611567936
39,AVJR,0.07299160496448,-0.00979753083456
40,AVL,0.06098962962816,0.00906271602048
41,AWAL,0.0779662809696,-0.00295140496704
42,AWAR,0.07838024691456,-0.00538864195008
43,AWBL,0.07919603303424,-0.00393520658304
44,AWBR,0.08278913579904,-0.00685827157824
45,AWCL,0.07845818180736,0.00491900825856
46,AWCR,0.07862518516608,0.00416395063296
47,BAGL,0.1128912396768,0.00049190083776
48,BAGR,0.11463111111552,0.00318419750784
49,CEPDL,0.09419900825856,-0.01623272728896
50,CEPDR,0.09601580245248,-0.01249185183936
51,CEPVL,0.10748033058048,0.0113137190304
52,CEPVR,0.10507851853248,0.01494123459264
53,IL1DL,0.12814016529024,-0.01451107438656
54,IL1DR,0.12687802470336,-0.0100424691456
55,IL1L,0.12641851238784,-0.00098380167552
56,IL1R,0.12418370369856,0.00244938269376
57,IL1VL,0.1291239669657599,0.01180561980864
58,IL1VR,0.11218172842176,0.01322666665344
59,IL2DL,0.13674842974272,-0.0157408264512
60,IL2DR,0.137410370352,-0.01396148146752
61,IL2L,0.13158347109504,-0.00295140496704
62,IL2R,0.13030716052224,-0.00073481481408
63,IL2VL,0.13404297522432,0.01303537187328
64,IL2VR,0.12687802470336,0.01224691358784
65,OLLL,0.128632066128,-0.0061487603232
66,OLLR,0.1290824691456,-0.00440888888448
67,OLQDL,0.12272925619392,-0.01598677684032
68,OLQDR,0.1217343210048,-0.01224691358784
69,OLQVL,0.11608859503296,0.0041811570316799
70,OLQVR,0.114386172864,0.00759308639232
71,RIAL,0.08952595038912,-0.00393520658304
72,RIAR,0.08989234568832,-0.004653827136
73,RIBL,0.07034181819264,0.0044271074208
74,RIBR,0.07103209877376,0.00514370369856
75,RICL,0.05583074380608,0.0061487603232
76,RICR,0.05290666667328,0.00489876544704
77,RID,0.09871012345728,-0.0164108642208
78,RIH,0.07993388432064,0.009592066128
79,RIML,0.06443900825856,0.00245950412928
80,RIMR,0.0668681481408,0.00342913581888
81,RIPL,0.12149950412928,-0.00664066116096
82,RIPR,0.12099950619072,-0.00318419750784
83,RIR,0.0695624691456,0.00930765433152
84,RIVL,0.07304727271104,-0.01820033058048
85,RIVR,0.07617580247232,-0.01690074072384
86,RMDDL,0.07895008264512,0.00934611567936
87,RMDDR,0.07715555553792,0.01224691358784
88,RMDL,0.08731239670848,0.0051649587072
89,RMDR,0.0879328394976,0.00514370369856
90,RMDVL,0.09419900825856,-0.00295140496704
91,RMDVR,0.09724049382912,-0.00195950619072
92,RMED,0.1155966941952,-0.01795438019136
93,RMEL,0.11264528922816,-0.00295140496704
94,RMER,0.11291654323584,-0.0002449382515199
95,RMEV,0.09405629632128,0.0173906172864
96,RMFL,0.069112066128,0.01278942148416
97,RMFR,0.07127703702528,0.01224691358784
98,RMHL,0.07304727271104,0.00910016529024
99,RMHR,0.0722567901504,0.0100424691456
100,SAADL,0.07772033058048,0.00934611567936
101,SAADR,0.07838024691456,0.01151209877376
102,SAAVL,0.0944449587072,-0.00590280993408
103,SAAVR,0.09454617282432,-0.0026943210048
104,SIADL,0.06837421490112,0.01082181819264
105,SIADR,0.06147950619072,0.01494123459264
106,SIAVL,0.05189553716352,0.0140191735488
107,SIAVR,0.05462123455296,0.01126716052224
108,SIBDL,0.079687933872,0.00688661155008
109,SIBDR,0.07984987654272,0.0073481481408
110,SIBVL,0.07427702477568,0.01008396696576
111,SIBVR,0.073236543216,0.00979753083456
112,SMBDL,0.0646849587072,0.0140191735488
113,SMBDR,0.05731555555776,0.01690074072384
114,SMBVL,0.05952,0.01426512393792
115,SMBVR,0.06613333332672,0.0127367901504
116,SMDDL,0.07255537187328,0.01328132232192
117,SMDDR,0.07078716052224,0.0146962962816
118,SMDVR,0.09381135801024,-0.00489876544704
119,URADL,0.1313375206464,-0.01205157025728
120,URADR,0.12491851851264,-0.0083279012064
121,URAVL,0.11658049587072,0.00934611567936
122,URAVR,0.11340641973888,0.01126716052224
123,URBL,0.12100760329152,-0.00295140496704
124,URBR,0.12222419750784,-0.00122469137664
125,URXL,0.09223140496704,-0.01180561980864
126,URXR,0.09307654319616,-0.0100424691456
127,URYDL,0.12568066116096,-0.01205157025728
128,URYDR,0.13055209877376,-0.00955259258304
129,URYVL,0.12149950412928,0.00221355374016
130,URYVR,0.12099950619072,0.00710320988928
