Id,avg_out_hitting_time,rw_out_closeness,out_truncated_runs,out_stuck_runs,out_total_runs,out_truncation_rate,avg_in_hitting_time,rw_in_closeness,in_truncated_runs,in_stuck_runs,in_total_runs,in_truncation_rate
0,2091.2695,0.00047817844615435744,0,0,2000,0.0,67.9085,0.014725697077685415,0,0,2000,0.0
1,9552.58,0.00010468376082691796,91,0,2000,0.0455,98.7725,0.010124275481535853,0,0,2000,0.0
2,3122.5255,0.0003202535896023907,6,0,2000,0.003,20.3465,0.049148502199395476,0,0,2000,0.0
3,477.0065,0.0020964074913025293,0,0,2000,0.0,53.5005,0.018691414098933653,0,0,2000,0.0
4,1549.002,0.0006455769585836558,0,0,2000,0.0,403.309,0.0024794884319467208,0,0,2000,0.0
5,3413.227,0.00029297787694753383,9,0,2000,0.0045,438.13,0.002282427589984708,0,0,2000,0.0
6,2867.8225,0.00034869661563782274,0,0,2000,0.0,80.205,0.012468050620285519,0,0,2000,0.0
7,1436.5685,0.0006961032488182777,0,0,2000,0.0,60.273,0.016591176812171288,0,0,2000,0.0
8,3288.2165,0.00030411622835661823,27,0,2000,0.0135,249.5975,0.0040064503851200434,0,0,2000,0.0
10,9214.6895,0.00010852237614734603,94,0,2000,0.047,206.4305,0.004844245399783462,0,0,2000,0.0
11,5594.449,0.00017874861313419785,26,0,2000,0.013,30.103,0.03321928047038501,0,0,2000,0.0
12,1700.1305,0.0005881901418744032,1,0,2000,0.0005,165.57,0.00603974149906384,0,0,2000,0.0
13,1768.1235,0.0005655713529060612,0,0,2000,0.0,6615.237,0.00015116616381242274,0,0,2000,0.0
14,2428.675,0.0004117471460775937,9,0,2000,0.0045,112.3015,0.008904600561880294,0,0,2000,0.0
15,1311.2355,0.0007626395105989732,0,0,2000,0.0,75.8075,0.013191306928733963,0,0,2000,0.0
16,2125.06,0.00047057494847204317,0,0,2000,0.0,212.112,0.004714490457871314,0,0,2000,0.0
17,7267.2085,0.00013760441853292088,75,0,2000,0.0375,290.3325,0.0034443267632800327,0,0,2000,0.0
18,4380.7635,0.00022827071125843703,33,0,2000,0.0165,83.405,0.011989688867573886,0,0,2000,0.0
19,4978.427,0.00020086665928816474,38,0,2000,0.019,172.505,0.005796933422219646,0,0,2000,0.0
20,653.588,0.001530015850964216,0,0,2000,0.0,66.7735,0.014976000958464061,0,0,2000,0.0
22,4027.339,0.00024830291167443315,14,0,2000,0.007,2481.594,0.00040296680278885264,0,0,2000,0.0
24,2498.561,0.00040023037260246994,0,0,2000,0.0,542.243,0.0018441916262635016,0,0,2000,0.0
26,1251.5525,0.0007990076325204097,0,0,2000,0.0,643.6245,0.0015537009545161815,0,0,2000,0.0
27,2986.0145,0.00033489455593735395,3,0,2000,0.0015,383.335,0.002608684310068217,0,0,2000,0.0
28,4484.6875,0.0002229809769354052,21,0,2000,0.0105,49.8995,0.020040280964739126,0,0,2000,0.0
29,6091.344,0.0001641673824364541,70,0,2000,0.035,791.4,0.0012635835228708618,0,0,2000,0.0
30,5896.446,0.00016959368405985572,41,0,2000,0.0205,5315.292,0.00018813641846957796,0,0,2000,0.0
31,4206.126,0.00023774846497703585,58,0,2000,0.029,733.689,0.0013629753206058698,0,0,2000,0.0
32,1247.039,0.0008018995396294743,0,0,2000,0.0,860.863,0.001161625020473641,0,0,2000,0.0
33,4859.487,0.0002057830384153718,61,0,2000,0.0305,3578.101,0.00027947785710912015,0,0,2000,0.0
34,1565.829,0.0006386393405665626,0,0,2000,0.0,803.129,0.00124512998534482,0,0,2000,0.0
35,2068.164,0.00048352064923284606,0,0,2000,0.0,9650.6875,0.00010361956078258673,0,0,2000,0.0
36,1327.628,0.0007532230413941255,0,0,2000,0.0,75.453,0.013253283500987369,0,0,2000,0.0
37,2897.378,0.0003451396400469666,1,0,2000,0.0005,67.3905,0.01483888678671326,0,0,2000,0.0
38,1376.804,0.0007263197957007679,0,0,2000,0.0,113.992,0.008772545441785387,0,0,2000,0.0
39,9162.8185,0.0001091367246879331,92,0,2000,0.046,87.4155,0.011439618831900521,0,0,2000,0.0
40,1580.665,0.0006326451208826664,0,0,2000,0.0,78652.198,1.2714202850376794e-05,1210,0,2000,0.605
42,5114.8115,0.00019551062634468543,66,0,2000,0.033,91.431,0.010937209480373179,0,0,2000,0.0
43,2525.3855,0.0003959791485299967,1,0,2000,0.0005,75.3375,0.013273602123776339,0,0,2000,0.0
44,8425.5575,0.00011868650828149946,82,0,2000,0.041,142.0875,0.007037916776634116,0,0,2000,0.0
45,1742.3645,0.0005739327218845426,0,0,2000,0.0,151.252,0.006611482823367624,0,0,2000,0.0
46,5439.12,0.00018385327038197355,62,0,2000,0.031,78.253,0.012779062783535456,0,0,2000,0.0
48,1106.357,0.0009038673773474566,0,0,2000,0.0,496.394,0.002014528781572702,0,0,2000,0.0
49,5162.2385,0.0001937144128462875,27,0,2000,0.0135,67.4245,0.014831404014861068,0,0,2000,0.0
50,1006.0285,0.0009940076250324916,0,0,2000,0.0,80.4735,0.012426450943478287,0,0,2000,0.0
51,1700.3895,0.0005881005499034192,0,0,2000,0.0,26.294,0.038031490073781093,0,0,2000,0.0
52,373.877,0.0026746764310187575,0,0,2000,0.0,58.0125,0.017237664296487824,0,0,2000,0.0
53,1919.99,0.000520836046021073,0,0,2000,0.0,5676.0345,0.00017617933788105058,0,0,2000,0.0
54,1146.827,0.0008719710993898818,0,0,2000,0.0,40858.0975,2.4474952608843326e-05,238,0,2000,0.119
55,4268.32,0.00023428421486673914,61,0,2000,0.0305,1947.5955,0.0005134536406558754,0,0,2000,0.0
56,6881.055,0.00014532655239639852,62,0,2000,0.031,675.145,0.0014811633056602655,0,0,2000,0.0
57,2652.177,0.00037704874146785825,16,0,2000,0.008,91.7195,0.010902806927643522,0,0,2000,0.0
58,4157.8855,0.00024050686340448767,35,0,2000,0.0175,197.673,0.005058859834170574,0,0,2000,0.0
62,7512.7475,0.00013310709563977758,95,0,2000,0.0475,56.7205,0.01763031002900186,0,0,2000,0.0
63,1672.718,0.00059782940101081,1,0,2000,0.0005,65.038,0.01537562655678219,0,0,2000,0.0
64,6178.1325,0.0001618612096778436,40,0,2000,0.02,81.1765,0.012318836116363726,0,0,2000,0.0
65,2844.9965,0.0003514942812759172,2,0,2000,0.001,39.548,0.025285728734702133,0,0,2000,0.0
66,1612.3035,0.0006202306203515653,1,0,2000,0.0005,51.663,0.019356212376362196,0,0,2000,0.0
67,3858.1,0.00025919494051476115,13,0,2000,0.0065,5026.6095,0.000198941254537477,0,0,2000,0.0
68,711.0045,0.0014064608592491328,0,0,2000,0.0,1287.9525,0.0007764261492562807,0,0,2000,0.0
69,1379.9395,0.0007246694510882543,0,0,2000,0.0,42.986,0.02326338807983995,0,0,2000,0.0
70,544.735,0.0018357550001376816,0,0,2000,0.0,66.505,0.015036463423802722,0,0,2000,0.0
71,843.5015,0.001185534347004718,0,0,2000,0.0,297.6515,0.003359633665545109,0,0,2000,0.0
